,Entropy
0,4.321928094887367
1,4.321928094887367
2,4.321928094887367
3,4.321928094887367
4,4.321928094887367
5,4.321928094887367
6,4.321928094887367
7,4.321928094887367
8,4.321928094887367
9,4.321928094887367
10,4.321928094887367
11,4.321928094887367
12,4.321928094887367
13,4.321928094887367
14,4.321928094887367
15,4.321928094887367
16,4.321928094887367
17,4.321928094887367
18,4.321928094887367
19,4.321928094887367
20,4.321928094887367
21,4.321928094887367
22,4.321928094887367
23,4.321928094887367
24,4.321928094887367
25,4.321928094887367
26,4.321928094887367
27,4.321928094887367
28,4.321928094887367
29,4.321928094887367
30,4.321928094887367
31,4.321928094887367
32,4.321928094887367
33,4.321928094887367
34,4.321928094887367
35,4.321928094887367
36,4.321928094887367
37,4.321928094887367
38,4.321928094887367
39,4.321928094887367
40,4.321928094887367
41,4.321928094887367
42,4.321928094887367
43,4.321928094887367
44,4.321928094887367
45,4.321928094887367
46,4.321928094887367
47,4.321928094887367
48,4.321928094887367
